Time,Load in lbs,Left right Center of pressure in cm
0.590000385,199.1851063,0.017544636
0.590999546,199.1850736,0.017549285
0.591999557,199.1847872,0.017553988
0.59299258,199.184277,0.017558431
0.59399223,199.183672,0.017563036
0.594996904,199.183033,0.017567765
0.595995504,199.1822745,0.017572932
0.596995769,199.1816088,0.017578529
0.597994338,199.1808321,0.017584711
0.598994788,199.1798353,0.017591483
0.600015805,199.1783282,0.017598479
0.600988472,199.1762363,0.017605622
0.602012401,199.1737984,0.017613129
0.602990496,199.1712028,0.017620428
0.603988932,199.1685031,0.017627484
0.605008794,199.1659011,0.017634895
0.606007799,199.1633401,0.017642556
0.607007297,199.1610404,0.017650124
0.608008085,199.1587437,0.017658058
0.609007118,199.1563634,0.017666373
0.610006735,199.1536848,0.017675375
0.611006139,199.1505944,0.017684951
0.612005972,199.1473979,0.017695064
0.613004964,199.1440012,0.017705403
0.614004257,199.1402543,0.017715947
0.615004068,199.136258,0.017726353
0.616004301,199.1321686,0.017736519
0.617003836,199.1281696,0.017746354
0.618005064,199.1242478,0.017756174
0.619002239,199.1204824,0.017765546
0.620001714,199.1169476,0.017775037
0.621001404,199.1135798,0.017785251
0.621998375,199.1103154,0.017795735
0.623000185,199.1071783,0.017806507
0.624001628,199.1040559,0.01781694
0.62499953,199.1006564,0.017827866
0.625998555,199.0970873,0.017838773
0.626999206,199.0933319,0.017849361
0.627994385,199.0894505,0.017859942
0.628996604,199.0856069,0.017870265
0.629996766,199.0819884,0.017880192
0.630995416,199.0786444,0.017889915
0.631995983,199.0756126,0.017899459
0.632994725,199.0728449,0.017908653
0.633991907,199.0704204,0.017918512
0.634992636,199.0680684,0.017928501
0.636012034,199.0657588,0.017938779
0.636991538,199.0634964,0.017948999
0.638010527,199.0612295,0.017959117
0.63900869,199.0591279,0.017968671
0.640008106,199.0572242,0.017977853
0.641010062,199.0555544,0.01798662
0.642008882,199.0538636,0.017995165
0.643007277,199.0524241,0.018003596
0.644006937,199.0511965,0.018012071
0.645007846,199.050415,0.018020239
0.646005766,199.0500937,0.018028292
0.647006481,199.0498349,0.018036881
0.648010006,199.0496912,0.018045883
0.649005742,199.0496354,0.018055454
0.650003979,199.0496725,0.018064796
0.651002801,199.0495944,0.018074335
0.65200379,199.0494743,0.018083333
0.653001705,199.049434,0.018091628
0.65400333,199.0494912,0.018099668
0.655002556,199.0499477,0.018107746
0.656003208,199.0509552,0.018115387
0.656999419,199.0523517,0.01812331
0.658005,199.0538586,0.018130876
0.659001414,199.0555702,0.018138566
0.66000011,199.0573847,0.01814677
0.660999348,199.0591257,0.018154983
0.661999326,199.0606552,0.018163484
0.662996344,199.0619633,0.018171832
0.663997324,199.0630944,0.018179802
0.664996951,199.0642991,0.018187518
0.665996186,199.0656998,0.018195014
0.666993285,199.0674368,0.018201906
0.66799368,199.0693598,0.018208613
0.668986759,199.0714554,0.01821478
0.670011738,199.073893,0.018221004
0.67101294,199.0766029,0.018227172
0.671992642,199.079356,0.018233189
0.673010914,199.0823311,0.018239653
0.674010431,199.0852104,0.018246287
0.675009136,199.0880374,0.018253103
0.676009702,199.0905332,0.018259703
0.67700556,199.0929187,0.018266119
0.678007564,199.0950625,0.018272059
0.679006415,199.0971877,0.018277828
0.680007839,199.0995927,0.018283224
0.681005003,199.1020388,0.018288206
0.682006913,199.1047749,0.018293345
0.683005834,199.1076055,0.018298233
0.684001747,199.1106172,0.018303491
0.685004389,199.1135321,0.018308865
0.686003392,199.1162517,0.018314782
0.687003239,199.1187013,0.018320622
0.688003178,199.1209794,0.018326239
0.689002298,199.1228404,0.018331767
0.69000003,199.1247609,0.018336901
0.691001966,199.1266748,0.018341856
0.692000735,199.1285484,0.01834635
0.692998949,199.1305546,0.018350819
0.694000109,199.1326651,0.018355335
0.694997503,199.134847,0.018360079
0.695998864,199.1369704,0.018364507
0.696997943,199.1390501,0.018368987
0.697996323,199.1410111,0.01837378
0.698996472,199.1426571,0.018378895
0.699996317,199.1439558,0.018384345
0.701015311,199.1450574,0.018389782
0.701996107,199.1459316,0.018395032
0.703012621,199.1467842,0.018400015
0.704012792,199.147703,0.018404766
0.704992908,199.1487226,0.01840899
0.705992526,199.1500072,0.018413207
0.706992476,199.1514753,0.018417453
0.708010615,199.1532987,0.018422166
0.709007443,199.1550445,0.018426939
0.710008811,199.1564677,0.018432129
0.711007537,199.1574374,0.018437688
0.71200683,199.1582829,0.01844347
0.713006696,199.1588758,0.018449546
0.714005999,199.1591248,0.018455551
0.715005336,199.1592954,0.018461503
0.716006281,199.1593814,0.018466914
0.717005954,199.1596197,0.018472266
0.718004334,199.1600036,0.018477525
0.719003666,199.160487,0.018483039
0.72000118,199.1612691,0.01848843
0.721003372,199.1621974,0.018493786
0.722005203,199.1632326,0.018499385
0.723003219,199.1643344,0.018505532
0.724001564,199.1652076,0.018512052
0.725003867,199.1659323,0.018518696
0.725999116,199.166327,0.018525552
0.727001365,199.1664767,0.01853223
0.727996363,199.166643,0.018538909
0.728997257,199.1668658,0.018545048
0.729998805,199.1673383,0.018550929
0.730997871,199.1680241,0.018556848
0.731994357,199.1688947,0.018563214
0.732997764,199.1700582,0.018569807
0.733997343,199.1713142,0.018577002
0.734995788,199.1725791,0.018584488
0.735993879,199.1737638,0.018591906
0.736990795,199.1748088,0.018599554
0.73799323,199.1758101,0.018607267
0.738992994,199.1768555,0.018615104
0.739991478,199.1779967,0.018622912
0.741011195,199.1791933,0.01863044
0.742011578,199.1804697,0.018637764
0.74300418,199.181882,0.018644972
0.744003419,199.1833946,0.018652093
0.74501387,199.1850897,0.018659352
0.745987904,199.1868377,0.018666975
0.747003909,199.1884788,0.018674644
0.748005832,199.1900196,0.018682536
0.749006341,199.1914325,0.018690507
0.750004647,199.1925323,0.018698884
0.751005527,199.1934771,0.018707529
0.75200538,199.1946335,0.018715782
0.753004141,199.1956542,0.018723879
0.754002309,199.1969577,0.018731763
0.755005213,199.198641,0.018739562
0.756003726,199.2005142,0.018747103
0.757001741,199.2024789,0.018754753
0.757997638,199.2046205,0.018762328
0.759000616,199.2068163,0.018770282
0.760001721,199.2087541,0.018778588
